id|propietarioId|tipo|saldo|estado
1|2|AHORRO|949.89|ACTIVA
2|2|AHORRO|4397.79|ACTIVA
3|3|CORRIENTE|4723.49|ACTIVA
4|3|CORRIENTE|1318.21|ACTIVA
5|4|AHORRO|1810.53|ACTIVA
6|4|AHORRO|2299.37|ACTIVA
7|5|CORRIENTE|3165.87|ACTIVA
8|6|AHORRO|4845.34|ACTIVA
9|6|CORRIENTE|2234.37|ACTIVA
10|7|CORRIENTE|1049.17|ACTIVA
11|8|CORRIENTE|1902.7|ACTIVA
12|8|CORRIENTE|1435.74|ACTIVA
13|9|CORRIENTE|2278.18|ACTIVA
14|9|CORRIENTE|3190.55|ACTIVA
15|10|AHORRO|2249.05|ACTIVA
16|10|CORRIENTE|2928.61|ACTIVA
17|11|AHORRO|835.48|ACTIVA
18|12|AHORRO|3701.04|ACTIVA
19|13|CORRIENTE|1021.41|ACTIVA
20|14|AHORRO|1899.42|ACTIVA
21|14|CORRIENTE|3496.65|ACTIVA
22|15|AHORRO|4872.7|ACTIVA
23|16|AHORRO|681.95|ACTIVA
24|16|AHORRO|2423.93|ACTIVA
25|17|AHORRO|1914.6|ACTIVA
26|18|AHORRO|2929.28|ACTIVA
27|19|CORRIENTE|3309.59|ACTIVA
28|19|CORRIENTE|3350.32|ACTIVA
29|20|CORRIENTE|995.23|ACTIVA
30|21|AHORRO|1240.95|ACTIVA
31|22|AHORRO|1954.41|ACTIVA
32|23|CORRIENTE|1633.02|ACTIVA
33|23|CORRIENTE|3705.22|ACTIVA
34|24|CORRIENTE|648.73|ACTIVA
35|24|CORRIENTE|4587.2|ACTIVA
36|25|CORRIENTE|2988.02|ACTIVA
37|25|AHORRO|3524.61|ACTIVA
38|26|CORRIENTE|4925.4|ACTIVA
39|27|CORRIENTE|683.49|ACTIVA
40|27|CORRIENTE|1966.82|ACTIVA
41|28|CORRIENTE|4732.35|ACTIVA
42|29|AHORRO|2936.52|ACTIVA
43|29|CORRIENTE|1660.74|ACTIVA
44|30|CORRIENTE|4844.39|ACTIVA
45|31|AHORRO|3766.8|ACTIVA
46|32|CORRIENTE|4543.49|ACTIVA
47|32|CORRIENTE|3113.09|ACTIVA
48|33|CORRIENTE|1223.64|ACTIVA
49|34|CORRIENTE|3704.81|ACTIVA
50|35|AHORRO|3744.23|ACTIVA
51|35|CORRIENTE|3057.39|ACTIVA
52|36|CORRIENTE|4878.55|ACTIVA
53|36|AHORRO|2690.34|ACTIVA
54|37|CORRIENTE|3510.16|ACTIVA
55|38|CORRIENTE|3404.63|ACTIVA
56|39|AHORRO|2426.83|ACTIVA
57|39|AHORRO|3075.32|ACTIVA
58|40|AHORRO|1926.15|ACTIVA
59|41|CORRIENTE|816.87|ACTIVA
60|42|CORRIENTE|4448.18|ACTIVA
61|43|AHORRO|1834.3|ACTIVA
62|44|CORRIENTE|523.33|ACTIVA
63|44|CORRIENTE|4092.33|ACTIVA
64|45|CORRIENTE|3104.89|ACTIVA
65|46|CORRIENTE|1789.44|ACTIVA
66|47|AHORRO|2120.86|ACTIVA
67|47|CORRIENTE|1969.93|ACTIVA
68|48|CORRIENTE|2891.1|ACTIVA
69|49|AHORRO|4862.92|ACTIVA
70|49|CORRIENTE|1953.3|ACTIVA
71|50|AHORRO|863.93|ACTIVA
72|50|AHORRO|3631.88|ACTIVA
73|51|CORRIENTE|1322.9|ACTIVA
74|51|AHORRO|1759.7|ACTIVA
75|52|AHORRO|1614.79|ACTIVA
76|53|CORRIENTE|913.1|ACTIVA
77|54|AHORRO|2630.62|ACTIVA
78|54|AHORRO|2591.03|ACTIVA
79|55|AHORRO|568.87|ACTIVA
80|55|AHORRO|2764.11|ACTIVA
81|56|CORRIENTE|619.3|ACTIVA
82|57|CORRIENTE|1078.25|ACTIVA
83|58|AHORRO|4825.36|ACTIVA
84|59|AHORRO|820.35|ACTIVA
85|60|AHORRO|1031.74|ACTIVA
86|61|AHORRO|4854.11|ACTIVA
87|62|AHORRO|4957.27|ACTIVA
88|62|CORRIENTE|1074.6|ACTIVA
89|63|AHORRO|3895.44|ACTIVA
90|64|AHORRO|4529.85|ACTIVA
91|64|AHORRO|740.68|ACTIVA
92|65|CORRIENTE|3545.46|ACTIVA
93|65|CORRIENTE|3080.47|ACTIVA
94|66|AHORRO|4062.11|ACTIVA
95|66|AHORRO|1010.59|ACTIVA
96|67|CORRIENTE|2486.89|ACTIVA
97|68|AHORRO|3926.8|ACTIVA
98|68|CORRIENTE|4400.91|ACTIVA
99|69|CORRIENTE|4513.54|ACTIVA
100|70|CORRIENTE|2184.22|ACTIVA
101|71|AHORRO|3163.5|ACTIVA
102|72|CORRIENTE|3672.88|ACTIVA
103|72|CORRIENTE|4578.59|ACTIVA
104|73|CORRIENTE|1034.68|ACTIVA
105|73|AHORRO|4202.56|ACTIVA
106|74|AHORRO|873.01|ACTIVA
107|74|AHORRO|1506.18|ACTIVA
108|75|AHORRO|4968.34|ACTIVA
109|75|AHORRO|1638.46|ACTIVA
110|76|AHORRO|3630.87|ACTIVA
111|77|CORRIENTE|3816.95|ACTIVA
112|78|CORRIENTE|3290.6|ACTIVA
113|78|CORRIENTE|1263.56|ACTIVA
114|79|AHORRO|4884.78|ACTIVA
115|79|CORRIENTE|2539.58|ACTIVA
116|80|AHORRO|1099.33|ACTIVA
117|80|AHORRO|4201.42|ACTIVA
118|81|CORRIENTE|872.37|ACTIVA
